Website,Timestamp,Archived URL
foxnews,20180801233843,https://web.archive.org/web/20180801233843/https://foxnews.com
foxnews,20180816160145,https://web.archive.org/web/20180816160145/https://foxnews.com
foxnews,20180830070447,https://web.archive.org/web/20180830070447/https://foxnews.com
foxnews,20180915070558,https://web.archive.org/web/20180915070558/https://foxnews.com
foxnews,20180930035757,https://web.archive.org/web/20180930035757/https://foxnews.com
foxnews,20181011123211,https://web.archive.org/web/20181011123211/https://foxnews.com
foxnews,20181022224939,https://web.archive.org/web/20181022224939/https://foxnews.com
foxnews,20181104115753,https://web.archive.org/web/20181104115753/https://foxnews.com
foxnews,20181115165146,https://web.archive.org/web/20181115165146/https://foxnews.com
foxnews,20181127034002,https://web.archive.org/web/20181127034002/https://foxnews.com
foxnews,20181207001718,https://web.archive.org/web/20181207001718/https://foxnews.com
foxnews,20181217194906,https://web.archive.org/web/20181217194906/https://foxnews.com
foxnews,20181228024719,https://web.archive.org/web/20181228024719/https://foxnews.com
foxnews,20190108175703,https://web.archive.org/web/20190108175703/https://foxnews.com
foxnews,20190118070004,https://web.archive.org/web/20190118070004/https://foxnews.com
foxnews,20190129174144,https://web.archive.org/web/20190129174144/https://foxnews.com
foxnews,20190210060640,https://web.archive.org/web/20190210060640/https://foxnews.com
foxnews,20190221052121,https://web.archive.org/web/20190221052121/https://foxnews.com
foxnews,20190305112545,https://web.archive.org/web/20190305112545/https://foxnews.com
foxnews,20190317190458,https://web.archive.org/web/20190317190458/https://foxnews.com
foxnews,20190328160703,https://web.archive.org/web/20190328160703/https://foxnews.com
foxnews,20190408034513,https://web.archive.org/web/20190408034513/https://foxnews.com
foxnews,20190418211754,https://web.archive.org/web/20190418211754/https://foxnews.com
foxnews,20190501093416,https://web.archive.org/web/20190501093416/https://foxnews.com
foxnews,20190509073536,https://web.archive.org/web/20190509073536/https://foxnews.com
foxnews,20190515073631,https://web.archive.org/web/20190515073631/https://foxnews.com
foxnews,20190523013454,https://web.archive.org/web/20190523013454/https://foxnews.com
foxnews,20190531053325,https://web.archive.org/web/20190531053325/https://foxnews.com
foxnews,20190608210307,https://web.archive.org/web/20190608210307/https://foxnews.com
foxnews,20190616011646,https://web.archive.org/web/20190616011646/https://foxnews.com
foxnews,20190622222547,https://web.archive.org/web/20190622222547/https://foxnews.com
foxnews,20190630224828,https://web.archive.org/web/20190630224828/https://foxnews.com
foxnews,20190708102602,https://web.archive.org/web/20190708102602/https://foxnews.com
foxnews,20190716124955,https://web.archive.org/web/20190716124955/https://foxnews.com
foxnews,20190725180027,https://web.archive.org/web/20190725180027/https://foxnews.com
foxnews,20190804013605,https://web.archive.org/web/20190804013605/https://foxnews.com
foxnews,20190812052449,https://web.archive.org/web/20190812052449/https://foxnews.com
foxnews,20190821073459,https://web.archive.org/web/20190821073459/https://foxnews.com
foxnews,20190830023258,https://web.archive.org/web/20190830023258/https://foxnews.com
foxnews,20190912060003,https://web.archive.org/web/20190912060003/https://foxnews.com
foxnews,20190929200628,https://web.archive.org/web/20190929200628/https://foxnews.com
foxnews,20191009202024,https://web.archive.org/web/20191009202024/https://foxnews.com
foxnews,20191018100252,https://web.archive.org/web/20191018100252/https://foxnews.com
foxnews,20191028223104,https://web.archive.org/web/20191028223104/https://foxnews.com
foxnews,20191107230005,https://web.archive.org/web/20191107230005/https://foxnews.com
foxnews,20191118082738,https://web.archive.org/web/20191118082738/https://foxnews.com
foxnews,20191129170758,https://web.archive.org/web/20191129170758/https://foxnews.com
foxnews,20191211015547,https://web.archive.org/web/20191211015547/https://foxnews.com
foxnews,20191219115001,https://web.archive.org/web/20191219115001/https://foxnews.com
foxnews,20191230081534,https://web.archive.org/web/20191230081534/https://foxnews.com
